India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
Rajasthan,107021,17895286,707733,9985,140123,282,683057,10.8,20.3,20.6,15.7,10.8,7.2,14.6,18.9,16.6,48,16.5,9.2,0.1,0.3,0,0,0.3,0,94.8,97.9,26.5,92.6,98.5,79.1,38.3,44.2,42.3,79,28.9,31.6,63.9,43,66.4,2020,0,,,,
Sikkim,1250,129202,15150,85,725,0,14981,40.6,29.5,14,7.2,4,2,2.7,5.1,32.5,9.2,53.2,1.9,4.2,0.1,26,0,0,0.2,97.8,98.6,38.8,97.9,99.2,96.1,75.8,82.6,57.6,89.8,64,48.5,83.4,59.5,67.8,2020,0.6,,,,
Tamil Nadu,58837,12980993,561330,3628,158123,145,555364,30,22.5,15.5,10.4,7.2,5,9.4,22,1.3,64,12.7,6.1,8.5,0,0,0,0,0,98.7,98.7,42.1,97,99.1,93.2,59.9,67,63.6,83.5,51,48.6,87.7,62.7,79.6,2020,0,,,,
Telangana,42789,7074127,298914,2733,67123,105,294334,23.9,20.9,16.2,11.7,8.7,6,12.6,18.6,8.7,55.8,16.9,13,1,0.1,0,0,0,0,97.3,99.3,25.4,97.2,99.6,83.6,40.6,36.3,45.5,77.4,44.2,37.2,74.5,43.9,68.2,2020,0,,,,
Tripura,4931,699406,37537,291,7123,6,36453,22.5,27.5,19.3,12,7.4,4.5,6.8,18.3,37.1,6.5,38.1,8.8,3.3,0,3.3,0,0,0,67.1,92.3,14.2,85.5,96.1,84.3,14.8,22.1,25.4,72.8,38.6,12.1,51.9,39.1,41.1,2020,0.4,,,,
Uttar Pradesh,159620,25414197,842609,15371,345123,1065,859604,13.7,24.1,21,14.7,9.4,6.2,10.9,21.2,0.6,46.9,31.3,13.8,0.1,0.2,0.1,0,0.1,0,86.9,96.4,18.4,90.8,97.7,86.5,26.5,26.8,35.7,78.6,20,12.2,62.5,35.7,54.4,2020,0.2,,,,
Uttarakhand,18882,1832924,80121,2112,20812,23,79965,60.3,25.5,8.7,3.4,1.3,0.6,0.2,19.4,3.3,21.9,55.4,13.5,0.4,1.6,0.1,0,0,0,97.2,97.9,28.8,95.3,99.1,77.6,39.6,44,39.2,77.3,45.3,36.1,67.4,43.9,57.2,2020,0.2,,,,
West Bengal,91043,16819875,541178,7192,109123,156,539951,21.2,25.3,18,11.7,7.8,5.2,10.8,22.9,5.8,15.4,55.9,31.2,0.8,0.1,0.4,0,0,0.1,86.8,96.2,22.4,91,98.1,87.8,28.4,38.3,35.9,79,27.9,15.6,64.1,39.8,54.1,2020,0.8,,,,
India,1489115,265235830,9507111,121773,2266794,39634,8814777,27.1,24.5,15.6,9.5,6.2,4.3,12.8,19,9.9,45.1,26,14.3,1.8,1.8,0.5,0,0.2,0,89.3,97.5,27,93.2,98.2,87.3,38.5,46,49.7,82.4,31.7,26.1,67.5,46.1,62.8,2021,6,,,,
Andaman & Nicobar Islands,416,78601,5707,63,1015,3,5603,26.4,19.5,13.7,11.3,7.4,3.8,17.9,0,8,59.1,32.9,11.2,16.7,0.1,0.2,0,0,0.1,98.6,100,53.4,98.3,99.8,96.6,90.4,94,84.1,91.1,49,39.2,94.7,84.1,91.1,2021,3.1,,,,
Andhra Pradesh,61948,8728956,311497,8132,88463,220,321288,34.8,16.4,11.1,8.1,6.3,4.9,18.4,18.9,5.8,62.7,12.6,12.1,2.3,0,0,0,0,0,98.5,99.7,39.4,98.6,99.7,83.9,51.8,32.7,62,69.5,46.3,45.6,84.5,45.5,73.8,2021,4.9,,,,
Arunachal Pradesh,3603,330209,23579,769,2513,1,22823,55.1,24.1,9.6,4.3,2.3,1.4,3.2,0.3,71.5,5.1,23.1,1.3,18.1,0.1,2.8,0,0,0.3,76.5,93.6,18,87.2,96,92.5,33.5,33,32.8,84.4,59.3,29.7,64.2,54.8,32.8,2021,9.6,,,,
Assam,60859,7155029,350284,8967,105121,29,321941,36.5,25.6,14.5,8.1,5,3.1,7.2,7.2,13.3,35.2,44.3,40,4.6,0.1,0.3,0,0.1,0,74.5,94,13.4,88.7,98.1,82.7,16.5,24.9,25.9,71.2,45.9,12.9,56.2,39.9,33.4,2021,11.8,,,,
Bihar,93165,26442654,589255,4748,235123,2578,432545,4.1,10.8,15.3,14.6,12.6,9.9,32.6,19.3,1.3,63.8,15.6,20.3,0.1,0,0,0,0,0,92.8,97.7,25.5,93,98.7,90.8,28.8,18.5,41.1,88.3,38.6,27.4,76.8,49.4,75.6,2021,6.5,,,,
Chandigarh,233,275816,9448,0,1852,12,9498,1.7,3,3,2.2,2.6,2.2,85.3,18.6,0.3,31.3,49.8,4.9,0.7,2.2,0.1,0,0.1,0,100,100,88,100,100,98.7,100,100,97.4,91.3,56.7,72.1,98.7,93.1,97.9,2021,0.4,,,,
Chhattisgarh,56512,5802319,261358,9275,72121,141,255848,41.5,27.3,12.8,6.6,3.8,2.4,5.6,12.9,32.9,42.3,11.9,1.8,0.8,0.3,0.1,0,0.1,0,97.8,99.1,22.2,97.5,99.5,97.6,39.9,33.6,41.9,86.6,49.1,35.9,74.2,49.1,61.1,2021,5.5,,,,
Dadra and Nagar Haveli and Daman & Diu,460,138332,4427,18,701,3,4460,14.3,12.5,10.1,9.3,7.8,7.2,38.8,2.2,53.6,18.1,26.1,6.5,1.9,0.1,0.1,0,0,0,99.8,99.8,69.1,99.1,100,96.1,95.2,96.5,86.5,91.5,44.6,46.3,88.7,70.4,84.6,2021,5.3,,,,
Delhi,5619,4714418,154230,15,48123,573,149880,5.4,4.5,3.8,3.2,3.5,3.5,76.1,16.6,0.7,35.3,47.4,14.5,0.4,2,0.1,0,0.3,0,99.8,99.8,81.8,99.5,99.8,97.5,99.1,98.5,96.7,92.1,55.2,67.6,98.3,88.8,98.4,2021,2.7,,,,
Goa,1510,312384,14227,114,2134,3,14022,32.8,22,13.3,8.7,5.7,3.6,13.9,2.1,13.8,29.7,54.4,9.1,7.6,0.1,0.1,0,0,0,99.3,99.5,53.1,98.5,99.7,97.4,88.7,93.1,75.9,92.6,42.5,38.1,87,70.7,77,2021,2.4,,,,
Gujarat,53851,11546747,379961,2576,115234,456,368532,14.5,19.7,17.5,13.6,9.8,6.9,18,7.3,18.1,47.9,26.7,11.3,0.6,0.1,0,0,0.2,0,99.6,99.6,58.7,98.1,99.5,95.3,85,82,76.5,92.4,44,51.1,84.7,65.4,86.5,2021,8.2,,,,
Haryana,23726,5757014,233785,969,67891,245,230823,11,16.6,17.2,14.4,10.6,7.4,22.8,21.8,0.1,40.2,37.9,6.6,0.2,3.3,0,0,0.1,0,98.8,99.1,46.4,97.6,99.4,89.6,59.5,63.1,62.8,85.6,39.6,36.4,79.9,56.2,80.3,2021,4.9,,,,
Himachal Pradesh,18028,1427181,100877,2816,14123,12,99016,67.2,21.9,6.7,2.4,0.9,0.5,0.4,28.3,5.8,16.8,49.1,2.3,0.2,0.8,1.2,0,0,0,99.3,99.3,34.9,98.7,99.8,91,52,56.1,52.3,83.8,38.5,38,74.6,50.3,69.9,2021,3.2,,,,
Jammu and Kashmir,28805,2742183,165089,3206,38452,103,161981,49.1,28.9,11,4.8,2.4,1.4,2.4,9,12.3,27,51.7,76.4,0.4,1.8,1.2,0,0,0.1,82.3,95.2,21.1,89.2,97.8,73.6,30.4,33.5,28.3,78.3,25.3,16.9,55.4,36.2,53.2,2021,3.9,,,,
Jharkhand,44855,7301078,206841,9185,94871,65,190130,29.6,30.5,16.8,9.3,5.3,3.1,5.4,12.4,27.1,47.1,13.4,13.9,4.1,0.1,0,0,0,0.6,80.7,95.7,19.6,91,97.7,79.5,19.1,19.9,29.1,82.4,43,22.8,60.4,38.6,51.2,2021,5.4,,,,
Karnataka,76424,12489849,431189,2353,137123,488,426030,23.7,26.6,17.4,10.5,6.6,4.3,10.9,17.8,7.1,51.9,23.2,13.3,1.1,0,0.2,0,0.4,0,98,98.9,35.4,97.7,99.4,88.9,56.1,52.5,58,84.8,47.5,41.2,77.5,51.1,71.2,2021,1.5,,,,
Kerala,16013,6289290,273752,539,72134,31,273347,4.5,8.5,10.4,9.9,8.9,8,49.8,10.3,1.5,45.3,42.9,28.1,11.8,0,0,0,0,0,99.7,99.8,75,99.5,99.8,98.9,95.5,96.9,90.1,93.9,63.8,59.9,95.9,85.7,89.2,2021,0,,,,
Ladakh,983,59828,6099,182,282,0,6013,62.3,25.1,7.6,2.1,1.2,0.8,0.9,0.6,71.4,1.9,26.1,13.9,0.5,0.1,38.8,0,0,0,97.2,97.7,36,95.8,96.1,90.7,78.2,82.5,51.4,85.4,24.5,20,71.9,48.1,63.8,2021,3.8,,,,
Lakshadweep,38,12735,807,0,34,0,807,2.6,2.6,5.3,5.3,10.5,15.8,57.9,0,95,0,5,97.9,1.5,0,0,0,0,0,100,100,84.2,100,100,100,100,100,100,100,73.7,81.6,100,92.1,100,2021,0,,,,
Madhya Pradesh,122976,15414895,589136,13861,247123,728,574620,45.2,30.1,12,5.5,2.8,1.6,2.8,16.9,24.1,47.7,11.3,6.6,0.3,0.2,0.1,0,0.2,0,92.5,97.7,19.9,93.3,98.5,88,27.6,30.8,32.7,84.1,48.5,27.9,67.4,42.5,61.9,2021,6.4,,,,
Maharashtra,108990,21408892,729983,7164,258123,806,725345,30.5,22.2,15,10,6.9,4.9,10.5,12.1,10,35.2,42.7,11.3,0.9,0.2,5.9,0,0.4,0.1,96.2,98.1,35.1,94.3,98.5,86.6,63,63.1,56.7,80.1,40.6,39.5,74,49.8,66.9,2021,2.6,,,,
Manipur,4621,664326,39908,540,6123,5,38739,35.9,25.4,14.1,8.1,5.3,3.3,7.9,3.8,37.7,14,44.5,9.1,44,0.1,0.1,0,0.1,2.8,54.4,87.6,15.4,79.4,88.3,80.2,25.3,30,24.8,74.9,35.9,14.7,50.2,45.2,39.4,2021,3.5,,,,
Meghalaya,14589,1091219,54845,1948,7712,14,48489,63.5,24.3,7.5,2.8,1.1,0.5,0.3,0.6,88.5,1.9,9,4.6,78.1,0,0.1,0,0,1,60.8,88.8,9.2,80.3,92.8,70,12.7,15.3,13.9,63.9,29.8,9.4,39.9,34.5,21.7,2021,3.4,,,,
Mizoram,3928,296181,22502,286,2245,2,22129,42.9,30.9,12.6,6,3,1.7,2.9,0.1,95.6,0.9,3.4,1.5,90.2,0,4.2,0,0,0,87.2,95.9,21.2,91.2,96.8,92.2,42.8,49.2,34.7,87.3,52.8,24.9,71.4,51.1,44.3,2021,1.6,,,,
Nagaland,2723,419688,31839,204,3456,0,30919,34.8,30,15.1,8.1,4.5,2.6,4.9,0,91.9,0.7,7.4,2,91.1,0.1,0.1,0,0,0.1,72.9,93.2,16.8,85.5,92.3,79.9,29.8,37.3,24.1,75.3,42.7,15.7,50.9,40.6,33.9,2021,3.2,,,,
Odisha,62103,7701452,330501,8127,115871,74,319403,35.8,30.1,15.1,7.8,4.4,2.6,4.2,20.5,25.4,42,12.1,2.4,1.7,0,0,0,0,0,83.9,95.8,17.9,91.1,97.3,77.4,24,30.1,29.8,74.5,41.1,21.1,57.4,38.1,50.7,2021,0,,,,
Puducherry,729,252972,12628,17,2254,3,12604,7.5,9.1,9.5,9.3,8.2,7.3,49.1,17.3,0.1,53.1,29.5,6.5,4.2,0,0,0,0,0,100,100,79.2,100,100,97.7,99.3,99,94.2,93.4,43.5,47.3,97.1,82.4,93.3,2021,0,,,,
Punjab,27670,5937818,259451,2088,71012,81,257849,17.4,18,16.4,13.1,9.9,7.1,18.1,37.5,0.1,21.9,40.5,2,1.2,28,0,0,0.1,0,99.6,99.8,64.2,99.4,99.9,96,95.5,95.9,84.1,94.4,54.9,43.5,91.9,75.8,92.3,2021,0,,,,
Rajasthan,106411,17895286,707733,9985,140123,282,683057,10.5,20.1,20.5,15.6,10.7,7.1,15.5,18.8,16.5,48.1,16.6,9.3,0.1,0.3,0,0,0.3,0,95.9,98.2,28.6,93.6,98.8,80.2,42.1,46.2,43.9,79.5,29.4,32.2,64.6,43.7,67.2,2021,0,,,,
Sikkim,1250,129202,15150,85,725,0,14981,40.2,29.3,14.1,7.3,4.1,2.1,2.9,5.1,32.4,9.3,53.2,1.9,4.3,0.1,26.1,0,0,0.2,98.2,98.8,41,98.2,99.4,96.6,78.6,83.8,59.3,90.2,64.7,49.2,84,60.1,68.6,2021,0.6,,,,
Tamil Nadu,58579,12980993,561330,3628,158123,145,555364,29.5,22.3,15.4,10.3,7.1,4.9,10.5,21.9,1.3,64.1,12.7,6.2,8.6,0,0,0,0,0,99,98.9,44.1,97.5,99.3,93.9,64.1,68.7,65.3,83.9,51.7,49.3,88.4,63.4,80.4,2021,0,,,,
Telangana,42541,7074127,298914,2733,67123,105,294334,23.5,20.7,16.1,11.8,8.8,6.1,13,18.5,8.6,55.9,17,13.1,1,0.1,0,0,0,0,98,99.5,27.3,97.7,99.7,84.7,44.4,38,47.2,78,44.9,37.9,75.2,44.6,69,2021,0,,,,
Tripura,4923,699406,37537,291,7123,6,36453,22.1,27.3,19.2,12.1,7.5,4.6,7.2,18.2,37,6.6,38.2,8.9,3.4,0,3.3,0,0,0,72.1,93.4,15.6,87.1,96.7,85.4,17.1,23.8,26.9,73.4,39.2,12.3,52.6,39.8,41.8,2021,0.4,,,,
Uttar Pradesh,158830,25414197,842609,15371,345123,1065,859604,13.4,23.9,20.9,14.6,9.3,6.1,11.8,21.1,0.6,47,31.3,13.9,0.1,0.2,0.1,0,0.1,0,90.7,97.2,20.2,92.2,98,87.8,30.3,28.8,37.5,79.1,20.4,12.4,63.2,36.3,55.2,2021,0.2,,,,
Uttarakhand,18826,1832924,80121,2112,20812,23,79965,59.8,25.3,8.8,3.5,1.4,0.7,0.5,19.3,3.3,22,55.4,13.6,0.4,1.6,0.1,0,0,0,97.8,98.3,30.7,96,99.3,78.8,43.6,45.9,40.9,77.9,45.9,36.7,68.1,44.6,58,2021,0.3,,,,
West Bengal,90978,16819875,541178,7192,109123,156,539951,20.9,25.1,17.9,11.8,7.9,5.3,11.1,22.8,5.8,15.5,55.9,31.3,0.8,0.1,0.4,0,0,0.1,89.5,97,24.4,92.2,98.4,88.7,31.9,40.1,37.7,79.5,28.4,15.9,64.8,40.4,54.9,2021,0.7,,,,
India,1466109,251791722,9483294,119932,2107212,39878,8814777,26,24.1,15.7,9.6,6.3,4.4,13.9,18.2,9.9,45.5,26.4,15.6,2,1.8,0.5,0,0.2,0,91.7,97,32.5,94.1,98.4,88.3,49.7,47.7,51,82,35.1,28,68.7,46.9,64.2,2022,5.6,,,,
Andaman & Nicobar Islands,414,75107,5685,63,968,3,5603,26.1,19.3,13.8,11.1,7.5,3.9,18.4,0,7.9,59.3,32.8,11.3,16.8,0.1,0.2,0,0,0.1,98.6,99.3,55.1,98.3,99.5,95.7,93.2,95.2,85.5,91.1,49.8,40.1,95.2,85,91.8,2022,3.3,,,,
Andhra Pradesh,61680,8622192,323221,8132,87034,220,321288,34.2,16.2,11.2,8.2,6.4,5,18.8,18.8,5.7,62.8,12.7,12.2,2.3,0,0,0,0,0,98.8,99.6,42.4,98.7,99.7,85.2,60.2,33.1,64.1,69.5,47.2,46.4,85.2,46.2,74.7,2022,3.8,,,,
Arunachal Pradesh,3543,325018,23754,769,2493,1,22823,54.7,24.3,9.7,4.4,2.3,1.4,3.1,0.3,71.2,5.2,23.3,1.3,18.2,0.1,2.8,0,0,0.3,80,94.1,22.5,88.3,96.3,93.4,41.4,36,36.5,84.4,60,30.3,64.8,55.5,33.5,2022,8.5,,,,
Assam,58876,7116900,351527,8967,104321,29,321941,36,25.4,14.6,8.2,5.1,3.2,7.5,7.1,13.2,35.3,44.4,40.1,4.7,0.1,0.3,0,0.1,0,78.2,93.7,17.3,89.5,98.2,84.5,21,27.1,28.7,71.2,46.6,13.2,56.9,40.5,34,2022,9.7,,,,
Bihar,91447,24543698,583023,4748,232961,2578,432545,3.9,10.6,15.1,14.5,12.5,9.8,33.5,19.2,1.3,64,15.5,20.4,0.1,0,0,0,0,0,94.4,97.7,29.9,94.3,98.8,92.5,33.3,21,43.3,88.3,39.3,28,77.4,50.1,76.5,2022,5.9,,,,
Chandigarh,230,270310,9649,0,1839,12,9498,1.7,3,3,2.2,2.6,2.2,85.2,18.5,0.3,31.4,49.8,5,0.7,2.2,0.1,0,0.1,0,100,100,90.4,100,100,99.1,100,100,98.3,91.3,57.4,73,99.1,93.9,98.3,2022,0.2,,,,
Chhattisgarh,56333,5764210,265355,9275,71927,141,255848,41,27.1,12.9,6.7,3.9,2.4,6.1,12.8,32.8,42.4,12,1.8,0.8,0.3,0.1,0,0.1,0,98.1,98.9,25.6,97.7,99.5,97.9,45.6,35.4,44.9,86.6,49.8,36.5,74.9,49.8,61.9,2022,5.6,,,,
Dadra and Nagar Haveli and Daman & Diu,459,139967,4545,18,699,3,4460,14.2,12.4,10.2,9.4,7.8,7.2,38.8,2.2,53.4,18.2,26.2,6.6,1.9,0.1,0.1,0,0,0,99.8,99.8,70.8,99.3,100,96.5,96.5,97.4,87.6,91.5,45.3,47.1,89.3,71.2,85.4,2022,4.6,,,,
Delhi,5488,4628514,156038,15,47849,573,149880,5.3,4.4,3.7,3.1,3.4,3.4,76.6,16.5,0.7,35.4,47.4,14.6,0.4,2,0.1,0,0.3,0,99.9,99.6,83.9,99.6,99.8,97.7,99.3,98.8,97.3,92.1,55.9,68.4,98.6,89.5,98.7,2022,2,,,,
Goa,1504,309594,14374,114,2114,3,14022,32.3,21.8,13.4,8.8,5.8,3.7,14.2,2.1,13.7,29.8,54.4,9.2,7.7,0.1,0.1,0,0,0,99.5,99.2,56.7,98.8,99.7,97.7,90.8,94,77.7,92.6,43.2,38.8,87.6,71.5,77.8,2022,2.5,,,,
Gujarat,53603,11499580,384454,2576,114343,456,368532,14.1,19.5,17.4,13.5,9.7,6.8,19,7.2,18,48,26.8,11.4,0.6,0.1,0,0,0.2,0,99.7,99.4,62.8,98.4,99.5,95.7,88.1,84.1,78,92.4,44.7,51.8,85.4,66.1,87.3,2022,6.6,,,,
Haryana,23561,5727319,239256,969,67438,245,230823,10.7,16.4,17.1,14.3,10.5,7.3,23.6,21.7,0.1,40.3,37.9,6.7,0.2,3.3,0,0,0.1,0,99,98.9,50,97.9,99.4,90.3,64.3,65,65,85.6,40.3,37,80.7,56.9,81.1,2022,3.7,,,,
Himachal Pradesh,18062,1419388,101693,2816,14023,12,99016,66.8,21.7,6.8,2.5,1,0.5,0.7,28.2,5.7,16.9,49.2,2.3,0.2,0.8,1.2,0,0,0,99.4,99.1,38.9,98.8,99.8,91.6,56.5,58,54.7,83.8,39.1,38.6,75.3,51,70.9,2022,2.5,,,,
Jammu and Kashmir,24278,2614335,166227,3206,38174,103,161981,48.7,28.8,11.1,4.9,2.5,1.5,2.6,8.9,12.2,27.1,51.8,76.5,0.4,1.8,1.2,0,0,0.1,85,94.8,24.1,90,97.8,75,34.8,36.1,30.8,78.3,25.8,17.2,56,36.8,54,2022,3.6,,,,
Jharkhand,44596,7209261,208600,9185,94218,65,190130,29,30.3,16.9,9.4,5.4,3.2,5.8,12.3,27,47.2,13.5,14,4.2,0.1,0,0,0,0.6,83.3,95.7,23,91.8,97.8,81.3,22.2,21.6,31.7,82.4,43.6,23.3,61,39.2,52,2022,4.9,,,,
Karnataka,76090,12398654,439066,2353,136622,488,426030,23.3,26.4,17.3,10.6,6.7,4.4,11.3,17.7,7,52,23.3,13.4,1.1,0,0.2,0,0.4,0,98.3,98.7,39.3,97.9,99.4,89.8,61,54.3,60.2,84.8,48.2,41.9,78.2,51.8,72,2022,1.1,,,,
Kerala,15934,6185360,276306,539,71987,31,273347,4.4,8.4,10.3,9.8,8.8,7.9,50.3,10.2,1.5,45.4,42.9,28.2,11.9,0,0,0,0,0,99.7,99.7,78.1,99.5,99.8,99,96.3,97.3,91.2,93.9,64.5,60.6,96.3,86.4,89.9,2022,0,,,,
Ladakh,979,58841,6205,182,280,0,6013,61.9,25,7.7,2.2,1.2,0.8,1.2,0.6,71.2,1.9,26.3,14,0.5,0.1,38.9,0,0,0,97.9,97.8,40.1,96.6,96.7,91.8,81.5,84.6,54.2,85.4,25,20.4,72.6,48.7,64.6,2022,2.8,,,,
Lakshadweep,37,12587,815,,,,,2.7,2.7,5.4,5.4,10.8,16.2,56.8,0,94.9,0,5.1,98,1.6,0,0,0,0,0,100,100,86.5,100,100,100,100,100,100,100,75.7,83.8,100,91.9,100,2022,0,,,,
Madhya Pradesh,122937,15241680,596966,13861,246473,728,574620,44.7,29.9,12.1,5.6,2.9,1.7,3.2,16.8,24,47.8,11.4,6.7,0.3,0.2,0.1,0,0.2,0,94,97.5,23.3,94.2,98.6,89,32.4,32.7,35,84.1,49.1,28.5,68,43.1,62.8,2022,5.3,,,,
Maharashtra,108451,21150066,742316,7164,257258,806,725345,30,22,14.9,10.1,7,5,11.1,12,9.9,35.3,42.8,11.4,0.9,0.2,6,0,0.4,0.1,96.8,97.8,39,94.9,98.6,87.5,67.7,65.3,58.8,80.1,41.3,40.2,74.7,50.5,67.8,2022,2.1,,,,
Manipur,4627,655620,40444,540,6078,5,38739,35.5,25.2,14.2,8.2,5.4,3.4,8.1,3.8,37.6,14.1,44.5,9.2,44.1,0.1,0.1,0,0.1,2.8,57.1,87.1,17.9,80.2,88.4,81.1,28.8,32,27.1,74.9,36.5,15,50.8,45.8,40,2022,2.7,,,,
Meghalaya,14588,1074966,55302,1948,7677,14,48489,63,24.1,7.6,2.9,1.2,0.6,0.5,0.6,88.4,1.9,9.1,4.7,78.2,0,0.1,0,0,1,64,88.4,11.5,81.3,92.9,71.1,15.1,16.8,15.6,63.9,30.4,9.6,40.6,35.1,22.2,2022,3,,,,
Mizoram,3891,293203,22719,286,2230,2,22129,42.5,30.7,12.7,6.1,3.1,1.8,3,0.1,95.5,0.9,3.5,1.5,90.3,0,4.2,0,0,0,89,95.6,24.3,91.8,96.9,92.8,48,51.8,37.3,87.3,53.4,25.4,72.1,51.8,45,2022,1.3,,,,
Nagaland,2717,415655,32050,204,3444,0,30919,34.4,29.8,15.2,8.2,4.6,2.7,5.1,0,91.8,0.7,7.5,2.1,91.2,0.1,0.1,0,0,0.1,75.4,92.9,19.3,86.2,92.4,80.8,33.5,39.6,26.4,75.3,43.3,16,51.5,41.2,34.5,2022,2.9,,,,
Odisha,61891,7649925,334440,8127,115166,74,319403,35.4,29.9,15.2,7.9,4.5,2.7,4.5,20.4,25.3,42.1,12.2,2.4,1.7,0,0,0,0,0,87,95.7,21.2,92.1,97.4,78.8,28.5,32,32.2,74.5,41.7,21.5,58,38.7,51.5,2022,0,,,,
Puducherry,729,251481,12768,17,2239,3,12604,7.4,8.9,9.3,9.2,8.1,7.1,50,17.2,0.1,53.2,29.5,6.6,4.3,0,0,0,0,0,100,100,81.3,100,100,97.9,99.6,99.3,94.9,93.4,44,48,97.5,83.1,93.8,2022,0,,,,
Punjab,27592,5915223,263700,2088,70707,81,257849,17,17.8,16.3,13,9.8,7,20,37.4,0.1,22,40.5,2.1,1.2,28.1,0,0,0.1,0,99.7,99.8,67.9,99.5,99.9,96.4,96.4,96.6,85.6,94.4,55.6,44.2,92.5,76.5,93,2022,0,,,,
Rajasthan,106670,17707162,719662,9985,139989,282,683057,10.2,19.9,20.4,15.5,10.6,7,16.3,18.7,16.4,48.2,16.7,9.4,0.1,0.3,0,0,0.3,0,96.7,97.9,32.1,94.4,98.8,81.3,47.1,48.2,46.2,79.5,29.9,32.8,65.3,44.3,68,2022,0,,,,
Sikkim,1250,128204,15301,85,723,0,14981,39.8,29.1,14.2,7.4,4.2,2.2,3,5.1,32.3,9.4,53.2,1.9,4.4,0.1,26.2,0,0,0.2,98.6,98.6,44.9,98.3,99.4,97.1,82.6,85.4,61.9,90.2,65.4,49.8,84.6,60.7,69.4,2022,0.5,,,,
Tamil Nadu,58150,12880110,564852,3628,157997,145,555364,29,22.1,15.3,10.2,7,4.8,11.6,21.8,1.3,64.2,12.7,6.3,8.7,0,0,0,0,0,99.2,98.7,48.2,97.8,99.3,94.4,69.5,70.9,67.3,83.9,52.4,50,89,64.1,81.2,2022,0,,,,
Telangana,42476,7027086,304008,2733,66827,105,294334,23.1,20.5,16,11.9,8.9,6.2,13.4,18.4,8.5,56,17.1,13.2,1,0.1,0,0,0,0,98.4,99.4,30.3,97.9,99.7,85.5,50.1,40.1,49.2,78,45.6,38.5,75.9,45.3,69.8,2022,0,,,,
Tripura,4912,694539,37761,291,7101,6,36453,21.7,27.1,19.1,12.2,7.6,4.7,7.7,18.1,36.9,6.7,38.3,9,3.5,0,3.3,0,0,0,75.7,93.4,18.8,88,96.8,86.3,20,25.9,29.3,73.4,39.8,12.5,53.2,40.4,42.4,2022,0.3,,,,
Uttarakhand,22460,1002115,78226,1513,8145,17,77808,1.9,10.7,21.5,20.1,17.4,10.8,17.6,22.6,3.3,28.8,45.3,13.6,0.4,1,0,0,0.3,0.4,99.8,99.7,97.1,99.4,99.9,97.3,48.2,60.9,98.2,88.5,55.4,49.3,92.4,97.7,97.7,2022,0.3,,,,
Uttar Pradesh,246933,33081284,982641,26824,48493,85,975832,4.3,9.8,23.7,26.3,17.8,8.9,9.2,22.1,0.6,41.2,36.1,13.4,0.3,0.4,0,0,0.1,0.3,99.7,99.3,96.8,99.2,99.8,95.7,33.2,47.9,97.1,82.5,42.7,38.9,88.2,96.8,96.8,2022,0.2,,,,
West Bengal,92676,12513064,474958,5327,12932,29,472614,2.7,9.7,23.4,22.1,18.6,10.3,13.2,21.1,6,37.7,35.2,15.3,0.7,1.4,0,0,0.2,0.4,99.4,99.6,95.1,98.8,99.7,94.2,36.4,49.2,97.3,86.9,44.8,42.6,89.5,97.2,97.2,2022,0.6,,,,
India,1471891,248045828,9807600,117070,2114110,39634,9107931,25.9,24.1,15.7,9.6,6.3,4.4,13.9,18,9.9,45.2,26.9,15.8,2,1.8,0.5,0,0.2,0,91.8,97.2,34.4,94.7,98.3,89,53.9,57.2,52.3,82.4,36.2,28.4,69.5,47.8,65.3,2023,6.6,,,,
Andaman & Nicobar Islands,412,72119,5750,63,968,3,5603,26.1,19.3,13.8,11.1,7.5,3.9,18.4,0,7.9,59.3,32.8,11.3,16.8,0.1,0.2,0,0,0.1,98.6,99.3,55.1,98.3,99.5,95.7,93.2,95.2,85.5,91.1,49.8,40.1,95.2,85,91.8,2023,2.2,,,,
Andhra Pradesh,61373,8741885,338293,8132,87034,220,321288,34.2,16.2,11.2,8.2,6.4,5,18.8,18.8,5.7,62.8,12.7,12.2,2.3,0,0,0,0,0,98.8,99.6,42.4,98.7,99.7,85.2,60.2,33.1,64.1,69.5,47.2,46.4,85.2,46.2,74.7,2023,4.1,,,,
