India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
Karnataka,76479,12489849,431189,2353,137123,488,426030,24.5,27,17.6,10.3,6.4,4.1,10.1,18,7.3,51.7,23,13.1,1.1,0,0.2,0,0.4,0,96.5,98.3,31.7,96.6,99,86.7,48.4,49,54.5,83.8,46.1,39.8,76.1,49.7,69.6,2019,3.5,,,,
Kerala,16049,6289290,273752,539,72134,31,273347,4.7,8.7,10.6,10.1,9.1,8.2,48.6,10.5,1.5,45.1,42.9,27.9,11.6,0,0,0,0,0,99.5,99.6,70.9,99.2,99.6,98.5,93.5,95.7,88.1,93.3,62.4,58.5,95.1,84.3,87.8,2019,3,,,,
Ladakh,983,59828,6099,182,282,0,6013,63.3,25.5,7.4,1.9,1,0.8,0.1,0.6,72,1.9,25.5,13.7,0.5,0.1,38.6,0,0,0,95.6,96.7,31.5,94.4,94.5,88.9,72.9,79.8,47.8,84.4,23.7,19.2,70.5,46.7,62.2,2019,5.7,,,,
Lakshadweep,37,12735,807,0,34,0,807,2.7,2.7,5.4,5.4,10.8,16.2,56.8,0,95.2,0,4.8,97.7,1.3,0,0,0,0,0,100,100,81.1,100,100,100,100,100,100,100,72.2,80.6,100,91.7,100,2019,2.3,,,,
Madhya Pradesh,122416,15414895,589136,13861,247123,728,574620,46.2,30.5,11.8,5.3,2.6,1.4,2.2,17.1,24.3,47.5,11.1,6.4,0.3,0.2,0.1,0,0.2,0,86.8,96.6,16.5,91,97.9,86,21.8,27,29.1,83.3,47.3,26.7,66,41.1,60.3,2019,8.9,,,,
Maharashtra,109968,21408892,729983,7164,258123,806,725345,31.5,22.6,15.2,9.9,6.7,4.7,9.4,12.3,10.2,35,42.5,11.1,0.9,0.2,5.7,0,0.4,0.1,93.8,97.5,30.6,92.2,97.9,84.2,53.6,59.1,53,78.9,39.2,38.1,72.6,48.4,65.1,2019,3.5,,,,
Manipur,4613,664326,39908,540,6123,5,38739,36.7,25.8,13.9,7.9,5.1,3.1,7.5,3.8,37.9,13.8,44.5,8.9,43.8,0.1,0.1,0,0.1,2.8,45.8,85.2,12.9,76.6,86.5,78,19.9,26.8,22.1,73.7,34.7,14.1,49,43.8,38.2,2019,7.6,,,,
Meghalaya,14582,1091219,54845,1948,7712,14,48489,64.5,24.7,7.3,2.6,0.9,0,0,0.6,88.7,1.9,8.8,4.4,77.9,0,0.1,0,0,1,51.5,86.4,7.7,77.3,91.2,67.8,9,12.7,11.8,62.7,28.6,9,38.5,33.3,20.7,2019,5.7,,,,
Mizoram,3928,296181,22502,286,2245,2,22129,43.9,31.3,12.4,5.8,2.8,1.5,2.3,0.1,95.8,0.9,3.2,1.5,90,0,4.2,0,0,0,82.5,94.4,17.7,88.9,95.7,90.4,35.4,45.1,31.5,86.3,51.4,23.9,69.9,49.7,42.9,2019,2.2,,,,
Nagaland,2722,419688,31839,204,3456,0,30919,35.6,30.4,14.9,7.9,4.3,2.4,4.5,0,92.1,0.7,7.2,1.8,90.9,0.1,0.1,0,0,0.1,66.1,91.4,13.7,82.9,90.5,77.7,24.2,33.4,21.3,74.1,41.5,15.1,49.7,39.2,32.7,2019,7.1,,,,
