iter	Passed	Remaining
367	117912	362710
368	118246	362429
369	118550	362059
370	118857	361698
371	119228	361530
372	119490	361033
373	119785	360636
374	120110	360331
375	120447	360059
376	120815	359882
377	121134	359556
378	121522	359437
379	121886	359244
380	122277	359130
381	122716	359155
382	122831	358231
383	123205	358067
384	123479	357609
385	123670	356914
386	123817	356095
387	123953	355249
388	124086	354396
389	124239	353605
390	124383	352792
391	124521	351964
392	124653	351123
393	124797	350320
394	124938	349512
395	125072	348688
396	125249	347986
397	125393	347194
398	125558	346464
399	125723	345738
400	125882	345000
401	126043	344267
402	126185	343488
403	126340	342744
404	126486	341981
405	126646	341258
406	126786	340485
407	126957	339796
408	127087	339004
409	127278	338374
410	127968	339070
411	128667	339782
412	129385	340537
413	130090	341252
414	130851	342105
415	131524	342722
416	132139	343183
417	132395	342708
418	132550	341972
419	132702	341233
420	132848	340482
421	132978	339694
422	133130	338964
423	133268	338199
424	133403	337431
425	133545	336685
426	133667	335889
427	133829	335198
428	133981	334485
429	134136	333782
430	134274	333038
431	134424	332328
432	134563	331592
433	134712	330883
434	134866	330190
435	134991	329429
436	135150	328752
437	135316	328096
438	135435	327327
439	135579	326624
440	135742	325967
441	135839	325154
442	135994	324484
443	136174	323874
444	136308	323158
445	136540	322675
446	136739	322118
447	136902	321475
448	137021	320733
449	137169	320061
450	137365	319504
451	137519	318849
452	137656	318159
453	137825	317545
454	137983	316906
455	138142	316274
456	138276	315584
457	138429	314941
458	138585	314309
459	138733	313658
460	138897	313046
461	139037	312382
462	139224	311825
463	139370	311180
464	139529	310565
465	139674	309920
466	139803	309244
467	139978	308670
468	140125	308037
469	140275	307412
470	140420	306778
471	140533	306076
472	140669	305429
473	140812	304796
474	140949	304154
475	141082	303505
476	141227	302883
477	141408	302341
478	141560	301738
479	141707	301127
480	141855	300521
481	141969	299844
482	142086	299176
483	142231	298568
484	142357	297924
485	142502	297319
486	142693	296815
487	142843	296224
488	142874	295389
489	143015	294787
490	143159	294191
491	143321	293633
492	143470	293052
493	143582	292396
494	143716	291787
495	143860	291202
496	143993	290595
497	144161	290060
498	144298	289463
499	144436	288873
500	144560	288255
501	144690	287651
502	144874	287156
503	145019	286586
504	145138	285966
505	145314	285459
506	146262	286466
507	147032	287118
508	147648	287464
509	148335	287946
510	149066	288506
511	149795	289059
512	150358	289285
513	150533	288767
514	150663	288162
515	150780	287534
516	150920	286954
517	150963	286188
518	151093	285592
519	151223	284998
520	151357	284412
521	151496	283838
522	151642	283279
523	151781	282708
524	151922	282141
525	152067	281585
526	152207	281020
527	152385	280527
528	152520	279957
529	152672	279419
530	152818	278872
531	152966	278330
532	153115	277791
533	153268	277261
534	153428	276745
535	153589	276231
536	153734	275692
537	153852	275104
538	154021	274609
539	154181	274100
540	154341	273592
541	154596	273254
542	154781	272792
543	154977	272349
544	155146	271862
545	155276	271308
546	155453	270836
547	155609	270328
548	155754	269804
549	155909	269297
550	156080	268821
551	156254	268349
552	156395	267824
553	157013	268113
554	157895	268848
555	158528	269156
556	159244	269600
557	159932	269993
558	160824	270725
559	161448	271002
560	161603	270491
561	161743	269955
562	161925	269492
563	162092	269003
564	162244	268493
565	162387	267968
566	162561	267494
567	162690	266950
568	162844	266446
569	163015	265972
570	163170	265472
571	163307	264946
572	163450	264430
573	163593	263915
574	163737	263404
575	163896	262916
576	164057	262434
577	164235	261981
578	164381	261477
579	164541	260997
580	164733	260568
581	164882	260072
582	165045	259599
583	165225	259154
584	165366	258650
585	165395	257971
586	166040	258254
587	166700	258556
588	167439	258976
589	168063	259216
590	168742	259538
591	169410	259838
592	170150	260247
593	170536	260110
594	170696	259631
595	170860	259157
596	171023	258683
597	171202	258235
598	171351	257742
599	171489	257234
600	171658	256774
601	171813	256293
602	171973	255821
603	172120	255330
604	172261	254833
605	172400	254333
606	172546	253845
607	172686	253348
608	172838	252871
609	172981	252383
610	173121	251890
611	173291	251442
612	173439	250963
613	173594	250496
614	173731	250004
615	173868	249512
616	174032	249060
617	174274	248722
618	174505	248367
619	174659	247904
620	174855	247500
621	175038	247079
622	175216	246653
623	175371	246194
624	175573	245803
625	175739	245361
626	175876	244880
627	176010	244396
628	176149	243920
629	176294	243454
630	176442	242992
631	176591	242533
632	176749	242088
633	176889	241619
634	177056	241187
635	177200	240725
636	177347	240268
637	177498	239817
638	177683	239414
639	177830	238959
640	177983	238514
641	178144	238080
642	178287	237624
643	178432	237170
644	178555	236689
645	178694	236230
646	178869	235820
647	179024	235384
648	179205	234983
649	179347	234530
650	179523	234124
651	179663	233673
652	179792	233207
653	179946	232774
654	180118	232366
655	180280	231946
656	180452	231539
657	180595	231095
658	180740	230656
659	180891	230226
660	181055	229811
661	181211	229389
662	181349	228943
663	181495	228509
664	181640	228074
665	181803	227664
666	181876	227141
667	182017	226703
668	182196	226315
669	182345	225891
670	182478	225446
671	182623	225018
672	182743	224560
673	182908	224158
674	183064	223745
675	183186	223292
676	183350	222890
677	183492	222464
678	183644	222049
679	183797	221638
680	183959	221237
681	184134	220853
682	184277	220431
683	184393	219977
684	184538	219560
685	184670	219127
686	184809	218704
687	184938	218270
688	185080	217852
689	185219	217431
690	185334	216983
691	185487	216581
692	185626	216162
693	185757	215735
694	185907	215331
695	186057	214928
696	186219	214539
697	186358	214125
698	186370	213566
699	186519	213164
700	186658	212753
701	186786	212330
702	186828	211810
703	186955	211386
704	187140	211031
705	187281	210624
706	187410	210206
707	187553	209805
708	187689	209397
709	187857	209024
710	188010	208636
711	188148	208231
712	188306	207849
713	188440	207443
714	188574	207035
715	188714	206637
716	188868	206253
717	189057	205909
718	189185	205499
719	189344	205123
720	189460	204701
721	189593	204298
722	189740	203912
723	189872	203509
724	190024	203129
725	190216	202792
726	190393	202439
727	190665	202188
728	191346	202370
729	192041	202564
730	192735	202754
731	193361	202870
732	193960	202957
733	194654	203141
734	195449	203426
735	195632	203074
736	195780	202687
737	195911	202282
738	196040	201876
739	196182	201484
740	196319	201088
741	196471	200707
742	196617	200322
743	196764	199938
744	196918	199561
745	197037	199150
746	197202	198786
747	197374	198430
748	197572	198100
749	197716	197716
750	197865	197338
751	198007	196954
752	198161	196582
753	198274	196170
754	198404	195776
755	198545	195393
756	198667	194992
757	198826	194629
758	198944	194226
759	199112	193872
760	199241	193481
761	199377	193097
762	199510	192711
763	200130	192795
764	200864	192987
765	201526	193107
766	202159	193198
767	202885	193375
768	203533	193475
769	204273	193661
770	204636	193489
771	204785	193114
772	204914	192720
773	205045	192329
774	205156	191920
775	205297	191540
776	205453	191174
777	205618	190818
778	205743	190424
779	205893	190055
780	206031	189675
781	206154	189282
782	206311	188921
783	206447	188540
784	206583	188162
785	206721	187784
786	206860	187410
787	206999	187035
788	207147	186668
789	207267	186278
790	207401	185901
791	207559	185545
792	207693	185169
793	207842	184807
794	207974	184430
795	208125	184070
796	208248	183687
797	208366	183299
798	208495	182922
799	208651	182570
800	208807	182218
801	208950	181854
802	209114	181510
803	209257	181148
804	209380	180769
805	209519	180404
806	209676	180056
807	209824	179701
808	209974	179347
809	210127	178997
810	210248	178620
811	210336	178216
812	210431	177818
813	210516	177413
814	210605	177012
815	210699	176615
816	210788	176216
817	210883	175822
818	210980	175430
819	211097	175056
820	211186	174659
821	211272	174260
822	211361	173865
823	211446	173468
824	211546	173083
825	211638	172693
826	211738	172309
827	211851	171937
828	211946	171551
829	212048	171171
830	212141	170785
831	212230	170396
832	212324	170012
833	212414	169626
834	212513	169246
835	212687	168928
836	213160	168847
837	213593	168733
838	214021	168615
839	214491	168528
840	214936	168421
841	215402	168331
842	215839	168216
843	216259	168087
844	216690	167967
845	217130	167852
846	217635	167787
847	217757	167426
848	217854	167047
849	217937	166658
850	218023	166272
851	218109	165886
852	218198	165503
853	218284	165118
854	218370	164735
855	218411	164319
856	218497	163937
857	218583	163555
858	218669	163174
859	218753	162793
860	218839	162414
861	218925	162035
862	219011	161657
863	219095	161278
864	219185	160904
865	219271	160529
866	219357	160153
867	219440	159776
868	219524	159401
869	219611	159029
870	219699	158657
871	219784	158285
872	219869	157913
873	219953	157541
874	220038	157170
875	220124	156801
876	220209	156431
877	220296	156064
878	220381	155696
879	220468	155329
880	220553	154963
881	220643	154600
882	220727	154234
883	220736	153816
884	220821	153452
885	220906	153088
886	220993	152726
887	221080	152366
888	221163	152003
889	221250	151643
890	221335	151283
891	221423	150925
892	221508	150566
893	221591	150206
894	221874	149982
895	222278	149839
896	222659	149681
897	223061	149535
898	223450	149381
899	223841	149227
900	224261	149092
901	224657	148941
902	225063	148796
903	225451	148638
904	225841	148481
905	226224	148319
906	226636	148176
907	226725	147821
908	226808	147463
909	226895	147107
910	226978	146751
911	227062	146395
912	227146	146040
913	227231	145686
914	227318	145334
915	227401	144980
916	227487	144629
917	227571	144277
918	227657	143927
919	227743	143577
920	227831	143229
921	227918	142881
922	228004	142533
923	228088	142184
924	228172	141836
925	228256	141489
926	228341	141142
927	228426	140797
928	228510	140451
929	228592	140105
930	228676	139760
931	228763	139418
932	228850	139076
933	228934	138733
934	229020	138392
935	229098	138046
936	229180	137703
937	229258	137359
938	229336	137015
939	229417	136674
940	229500	136334
941	229588	135998
942	229673	135660
943	229761	135325
944	229852	134992
945	229937	134656
946	230024	134322
947	230108	133987
948	230199	133656
949	230287	133324
950	230372	132991
951	230456	132657
952	230540	132324
953	230627	131994
954	230713	131663
955	230803	131335
956	230889	131006
957	230975	130676
958	231059	130347
959	231144	130018
960	231230	129691
961	231314	129363
962	231399	129035
963	231485	128709
964	231571	128384
965	231654	128057
966	231741	127733
967	231827	127409
968	231913	127085
969	232001	126763
970	232090	126442
971	232172	126118
972	232256	125795
973	232342	125474
974	232426	125152
975	232509	124830
976	232594	124510
977	232757	124232
978	233153	124078
979	233570	123935
980	233964	123779
981	234370	123629
982	234785	123483
983	235172	123322
984	235554	123157
985	235934	122991
986	236317	122827
987	236720	122673
988	237109	122510
989	237493	122345
990	237722	122099
991	237809	121781
992	237851	121440
993	237939	121124
994	238027	120807
995	238116	120492
996	238200	120175
997	238283	119858
998	238367	119541
999	238448	119224
1000	238531	118908
1001	238613	118592
1002	238697	118278
1003	238784	117965
1004	238867	117651
1005	238955	117340
1006	239039	117027
1007	239121	116714
1008	239203	116401
1009	239289	116090
1010	239372	115779
1011	239457	115469
1012	239542	115159
1013	239628	114851
1014	239713	114542
1015	239795	114233
1016	239879	113925
1017	239971	113621
1018	240057	113314
1019	240144	113009
1020	240228	112702
1021	240311	112396
1022	240395	112090
1023	240481	111786
1024	240565	111481
1025	240649	111177
1026	240737	110875
1027	240824	110572
1028	240911	110271
1029	240997	109969
1030	241089	109670
1031	241175	109370
1032	241260	109069
1033	241346	108769
1034	241430	108468
1035	241515	108169
1036	241600	107869
1037	241684	107570
1038	241771	107273
1039	241856	106975
1040	241942	106677
1041	242030	106381
1042	242116	106085
1043	242203	105790
1044	242288	105493
1045	242375	105199
1046	242456	104902
1047	242540	104607
1048	242625	104312
1049	242784	104050
1050	243195	103896
1051	243626	103749
1052	244101	103621
1053	244532	103473
1054	244944	103317
1055	245357	103161
1056	245755	102998
1057	246175	102844
1058	246587	102686
1059	247046	102547
1060	247533	102419
1061	247757	102182
1062	247842	101888
1063	247947	101602
1064	248040	101312
1065	248123	101018
1066	248223	100731
1067	248314	100441
1068	248395	100148
1069	248482	99857
1070	248570	99567
1071	248653	99275
1072	248745	98988
1073	248847	98705
1074	248947	98421
1075	249044	98136
1076	249149	97855
1077	249241	97569
1078	249363	97295
1079	249530	97039
1080	249668	96772
1081	249787	96498
1082	249921	96230
1083	250086	95974
1084	250191	95695
1085	250288	95413
1086	250374	95128
1087	250462	94844
1088	250549	94560
1089	250633	94275
1090	250717	93990
1091	250803	93706
1092	250888	93423
1093	250986	93144
1094	251077	92864
1095	251164	92582
1096	251251	92301
1097	251337	92019
1098	251419	91737
1099	251500	91454
1100	251592	91176
1101	251685	90899
1102	251766	90617
1103	251847	90336
1104	251937	90058
1105	252023	89780
1106	252109	89502
1107	252196	89224
1108	252275	88944
1109	252358	88666
1110	252438	88387
1111	252522	88110
1112	252606	87833
1113	252689	87556
1114	252769	87279
1115	252859	87005
1116	252944	86730
1117	253027	86454
1118	253122	86183
1119	253204	85908
1120	253287	85634
1121	253374	85361
1122	253456	85087
1123	253540	84814
1124	253621	84540
1125	253700	84266
1126	253782	83993
1127	253872	83723
1128	253961	83454
1129	254053	83185
1130	254144	82917
1131	254229	82647
1132	254308	82375
1133	254387	82104
1134	254472	81834
1135	254553	81564
1136	254635	81295
1137	254714	81025
1138	254795	80755
1139	254875	80487
1140	254958	80219
1141	255043	79952
1142	255123	79684
1143	255207	79417
1144	255288	79150
1145	255367	78883
1146	255452	78617
1147	255533	78351
1148	255612	78085
1149	255692	77819
1150	255775	77554
1151	255854	77289
1152	255941	77026
1153	256024	76762
1154	256108	76499
1155	256189	76236
1156	256286	75977
1157	256371	75715
1158	256455	75454
1159	256544	75193
1160	256624	74931
1161	256704	74669
1162	256967	74461
1163	257379	74295
1164	257747	74116
1165	258130	73941
1166	258498	73761
1167	258875	73584
1168	259260	73409
1169	259629	73228
1170	260005	73050
1171	260375	72869
1172	260769	72695
1173	261160	72519
1174	261532	72338
1175	261784	72124
1176	261863	71862
1177	261943	71600
1178	262024	71340
1179	262103	71078
1180	262141	70807
1181	262243	70552
1182	262353	70300
1183	262446	70044
1184	262541	69789
1185	262621	69530
1186	262702	69272
1187	262783	69013
1188	262865	68756
1189	262950	68499
1190	263036	68243
1191	263113	67985
1192	263193	67728
1193	263273	67472
1194	263350	67214
1195	263429	66958
1196	263508	66702
1197	263587	66446
1198	263669	66192
1199	263751	65937
1200	263829	65682
1201	263914	65429
1202	264002	65177
1203	264088	64925
1204	264179	64674
1205	264264	64422
1206	264344	64169
1207	264427	63917
1208	264515	63667
1209	264607	63418
1210	264691	63167
1211	264775	62916
1212	264858	62666
1213	264947	62417
1214	265028	62167
1215	265110	61917
1216	265191	61667
1217	265271	61417
1218	265350	61167
1219	265426	60917
1220	265506	60668
1221	265588	60420
1222	265675	60173
1223	265756	59925
1224	265837	59677
1225	265917	59430
1226	265998	59182
1227	266079	58936
1228	266159	58689
1229	266251	58445
1230	266331	58199
1231	266412	57953
1232	266492	57707
1233	266573	57462
1234	266654	57217
1235	266734	56972
1236	266815	56727
1237	266900	56484
1238	266988	56242
1239	267075	55999
1240	267162	55757
1241	267252	55516
1242	267341	55274
1243	267431	55034
1244	267518	54793
1245	267605	54551
1246	267693	54311
1247	267774	54069
1248	267857	53828
1249	267943	53588
1250	268023	53347
1251	268102	53106
1252	268182	52865
1253	268263	52625
1254	268342	52385
1255	268428	52146
1256	268507	51907
1257	268585	51667
1258	268670	51429
1259	268779	51196
1260	268864	50958
1261	268965	50723
1262	269066	50489
1263	269159	50254
1264	269162	50002
1265	269255	49767
1266	269340	49531
1267	269424	49295
1268	269506	49059
1269	269585	48822
1270	269669	48587
1271	269748	48351
1272	270013	48148
1273	270417	47970
1274	270806	47789
1275	271171	47603
1276	271526	47416
1277	271887	47229
1278	272310	47052
1279	272711	46872
1280	273124	46693
1281	273487	46505
1282	273845	46316
1283	274251	46135
1284	274632	45950
1285	274839	45735
1286	274923	45500
1287	275004	45264
1288	275084	45029
1289	275164	44794
1290	275244	44559
1291	275325	44324
1292	275402	44089
1293	275479	43855
1294	275557	43621
1295	275637	43387
1296	275716	43153
1297	275797	42920
1298	275880	42688
1299	275968	42456
1300	276052	42224
1301	276131	41992
1302	276210	41760
1303	276289	41528
1304	276370	41296
1305	276449	41065
1306	276528	40833
1307	276607	40602
1308	276689	40372
1309	276767	40141
1310	276847	39911
1311	276932	39682
1312	277017	39453
1313	277102	39224
1314	277181	38995
1315	277267	38766
1316	277345	38537
1317	277425	38309
1318	277505	38080
1319	277588	37852
1320	277671	37625
1321	277750	37397
1322	277842	37171
1323	277939	36946
1324	278030	36721
1325	278074	36489
1326	278167	36264
1327	278256	36039
1328	278352	35815
1329	278443	35590
1330	278531	35365
1331	278630	35142
1332	278728	34919
1333	278830	34697
1334	278928	34474
1335	279010	34249
1336	279091	34025
1337	279172	33801
1338	279250	33576
1339	279330	33352
1340	279411	33129
1341	279488	32905
1342	279567	32682
1343	279645	32458
1344	279723	32235
1345	279803	32013
1346	279884	31790
1347	279968	31569
1348	280048	31347
1349	280127	31125
1350	280206	30903
1351	280286	30682
1352	280365	30460
1353	280444	30239
1354	280523	30019
1355	280605	29798
1356	280643	29574
1357	280723	29354
1358	280804	29134
1359	280885	28914
1360	280970	28695
1361	281058	28477
1362	281145	28258
1363	281231	28040
1364	281310	27821
1365	281390	27603
1366	281468	27384
1367	281548	27166
1368	281631	26949
1369	281713	26731
1370	281797	26514
1371	281877	26297
1372	281962	26081
1373	282050	25864
1374	282140	25649
1375	282228	25433
1376	282313	25217
1377	282398	25001
1378	282487	24786
1379	282567	24571
1380	282647	24355
1381	282726	24140
1382	282804	23924
1383	282884	23709
1384	282963	23495
1385	283041	23280
1386	283119	23066
1387	283200	22851
1388	283287	22638
1389	283368	22424
1390	283445	22211
1391	283521	21997
1392	283601	21784
1393	283682	21571
1394	283761	21358
1395	283899	21150
1396	284243	20957
1397	284596	20764
1398	284974	20573
1399	285333	20380
1400	285696	20188
1401	286058	19995
1402	286447	19804
1403	286903	19617
1404	287292	19425
1405	287662	19232
1406	288029	19038
1407	288387	18843
1408	288737	18648
1409	288899	18440
1410	288977	18227
1411	289057	18014
1412	289134	17802
1413	289212	17589
1414	289290	17377
1415	289367	17165
1416	289445	16954
1417	289524	16742
1418	289604	16531
1419	289681	16320
1420	289760	16109
1421	289838	15898
1422	289921	15687
1423	289999	15477
1424	290078	15267
1425	290156	15057
1426	290235	14847
1427	290312	14637
1428	290392	14428
1429	290472	14218
1430	290551	14009
1431	290631	13800
1432	290713	13592
1433	290793	13383
1434	290877	13175
1435	290963	12967
1436	291047	12759
1437	291137	12552
1438	291243	12345
1439	291336	12139
1440	291444	11932
1441	291531	11725
1442	291608	11518
1443	291688	11312
1444	291767	11105
1445	291844	10898
1446	291921	10692
1447	291998	10486
1448	292081	10280
1449	292161	10074
1450	292242	9868
1451	292323	9663
1452	292403	9458
1453	292490	9253
1454	292573	9048
1455	292658	8844
1456	292740	8639
1457	292832	8435
1458	292921	8231
1459	293000	8027
1460	293082	7823
1461	293165	7619
1462	293244	7416
1463	293325	7212
1464	293405	7009
1465	293493	6806
1466	293575	6603
1467	293658	6401
1468	293743	6198
1469	293827	5996
1470	293916	5794
1471	294008	5592
1472	294109	5391
1473	294211	5189
1474	294329	4988
1475	294453	4787
1476	294569	4587
1477	294668	4386
1478	294761	4185
1479	294842	3984
1480	294933	3783
1481	295023	3583
1482	295106	3382
1483	295191	3182
1484	295271	2982
1485	295359	2782
1486	295442	2582
1487	295521	2383
1488	295607	2183
1489	295694	1984
1490	295774	1785
1491	295861	1586
1492	295950	1387
1493	296033	1188
1494	296112	990
1495	296198	791
1496	296279	593
1497	296357	395
1498	296436	197
1499	296519	0
